"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ID","GeneticID","PosProb","Ots28","Wateryear","Winter_Run_LAD_Expanded_Salvage","Winter_Run_LAD_Loss","Winter_Run_Genetic_Expanded_Salvage","Winter_Run_Genetic_Loss"
2019-03-27 13:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",117,4,16.92,1,"C190059SWP","Winter",1,"",2019,4,16.92,4,16.92
2019-03-28 05:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",222,4,17.07,1,"C190102SWP","Fall/LateFall",0.87,"",2019,4,17.07,0,0
2019-03-30 11:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",135,4,18.08,1,"C190061SWP","Winter",1,"",2019,4,18.08,4,18.08
2019-04-04 07:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",214,4,17.31,1,"C190064SWP","Fall/LateFall",0.991,"",2019,4,17.31,0,0
2019-04-04 07:50:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",180,1,4.33,1,"C190065SWP","Fall/LateFall",0.993,"",2019,1,4.33,0,0
2019-04-04 09:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,90,0.33,"Normal count",133,3,13.1,1,"C190066SWP","Winter",1,"",2019,3,13.1,3,13.1
2019-04-04 14:00:00,"SWP","Chinook Salmon","Unclipped","Spring",30,60,0.5,"Normal count",109,2,8.72,1,"C190068SWP","Winter",1,"",2019,0,0,2,8.72
2019-04-19 05:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",177,4,16.73,1,"C190163SWP","Fall/LateFall",1,"",2019,4,16.73,0,0
2019-04-20 17:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",223,4,16.76,1,"C190164SWP","Fall/LateFall",1,"",2019,4,16.76,0,0
2019-04-22 15:00:00,"SWP","Chinook Salmon","Unclipped","Spring",30,120,0.25,"Normal count",124,4,16.84,1,"C190141SWP","Winter",1,"",2019,0,0,4,16.84
